VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Abies,fir,Abies,Pinaceae,Ntr,genus,0.5,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies alba,silver fir,AbiesIso2,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies amabilis,Pacific silver fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies balsamea,balsam fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies borisii-regis,fir,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies bornmulleriana,Uludag fir,Abies,Pinaceae,Ntr,species,0.5,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies bracteata,bristlecone fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies cephalonica,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies cilicica,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies concolor,white fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies equi-trojani,fir,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies fraseri,Fraser fir,Abies,Pinaceae,Ntr,species,0.5,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies grandis,grand fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies insignis,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies lasiocarpa,subalpine fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies magnifica,California red fir,Abies,Pinaceae,Ntr,species,0.003,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies marocana,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies nebrodensis,,Abies,Pinaceae,Ntr,species,0.5,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies nordmanniana,fir,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Abies numidica,,AbiesIso,Pinaceae,Ntr,species,8,0.003,0.2,0.2,0.05,0.2,0.03,0.05,0.09,0.06,1.6,0.4,0.7,0.4,1.5,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
